Date	Price	Open	High	Low	Change %
Oct 16, 2015	1177.2	1181.91	1184.5	1173.95	-0.50%
Oct 15, 2015	1183.11	1183.69	1191.04	1175.96	-0.18%
Oct 14, 2015	1185.19	1168.2	1190.38	1163.66	1.40%
Oct 13, 2015	1168.8	1163.15	1169	1151.16	0.41%
Oct 12, 2015	1164	1155.31	1169.4	1154.5	0.56%
Oct 09, 2015	1157.53	1138.7	1160.2	1138.4	1.63%
Oct 08, 2015	1138.96	1145.09	1151.6	1136.5	-0.56%
Oct 07, 2015	1145.4	1146.56	1153.7	1141.56	-0.15%
Oct 06, 2015	1147.11	1135.25	1151.61	1134.7	1.00%
Oct 05, 2015	1135.75	1137.56	1141.95	1129.58	-0.21%
Oct 02, 2015	1138.14	1113.68	1141.9	1104.12	2.21%
Oct 01, 2015	1113.55	1114.76	1119.29	1110.75	-0.13%
Sep 30, 2015	1115	1127.06	1128.2	1111.6	-1.11%
Sep 29, 2015	1127.46	1131.85	1134.9	1123.95	-0.41%
Sep 28, 2015	1132.05	1145.4	1148.3	1127.7	-1.24%
Sep 25, 2015	1146.24	1150.59	1151.18	1140.45	-0.67%
Sep 24, 2015	1154.01	1130.21	1156.7	1130.05	2.09%
Sep 23, 2015	1130.4	1123.7	1134.4	1121.35	0.50%
Sep 22, 2015	1124.8	1132.96	1136.6	1120.98	-0.75%
Sep 21, 2015	1133.3	1139.2	1140.1	1129.8	-0.54%
Sep 18, 2015	1139.4	1130.45	1141.9	1126.9	0.71%
Sep 17, 2015	1131.4	1118.69	1133.4	1115.2	1.06%
Sep 16, 2015	1119.55	1105.1	1124.7	1103.55	1.28%
Sep 15, 2015	1105.4	1107.79	1109.8	1102.51	-0.31%
Sep 14, 2015	1108.8	1107.4	1110.7	1103	0.08%
Sep 11, 2015	1107.9	1111.16	1113.4	1098.35	-0.33%
Sep 10, 2015	1111.55	1106.41	1115.3	1103.6	0.49%
Sep 09, 2015	1106.1	1121.56	1125.8	1101.11	-1.40%
Sep 08, 2015	1121.8	1118.9	1126.8	1118.05	0.21%
Sep 07, 2015	1119.47	1122.85	1124.88	1116.2	-0.31%
Sep 04, 2015	1123	1124.85	1130.2	1116.75	-0.20%
Sep 03, 2015	1125.25	1133.61	1134.5	1121.35	-0.78%
Sep 02, 2015	1134.05	1139.09	1143	1131.91	-0.53%
Sep 01, 2015	1140.11	1134.61	1147.57	1134.11	0.49%
Aug 31, 2015	1134.5	1132.85	1136.8	1125.56	0.05%
Aug 28, 2015	1133.96	1125.4	1141.2	1123.3	0.73%
Aug 27, 2015	1125.71	1125.25	1129.8	1117.75	0.01%
Aug 26, 2015	1125.55	1140.75	1147	1117.35	-1.32%
Aug 25, 2015	1140.65	1155.05	1157.2	1134.5	-1.25%
Aug 24, 2015	1155.05	1161.95	1167.9	1146.35	-0.52%
Aug 21, 2015	1161.05	1153.51	1168.8	1148.45	0.68%
Aug 20, 2015	1153.16	1133.55	1154.5	1132.41	1.65%
Aug 19, 2015	1134.46	1117.61	1134.66	1115.95	1.47%
Aug 18, 2015	1118.01	1117.51	1121.6	1109.15	0.03%
Aug 17, 2015	1117.66	1113.95	1123.05	1113.3	0.32%
Aug 14, 2015	1114.11	1114.76	1121.4	1111.4	-0.08%
Aug 13, 2015	1115.05	1125.06	1126.71	1113.02	-0.91%
Aug 12, 2015	1125.3	1108.51	1125.8	1101.35	1.47%
Aug 11, 2015	1109.01	1104.01	1119.4	1093.25	0.41%
Aug 10, 2015	1104.51	1094	1109.2	1089.4	0.94%
Aug 07, 2015	1094.2	1089	1099.9	1082.76	0.44%
Aug 06, 2015	1089.41	1084.5	1094.3	1083.2	0.40%
Aug 05, 2015	1085.05	1087.19	1092.16	1082.45	-0.22%
Aug 04, 2015	1087.45	1085.73	1095.05	1080.6	0.09%
Aug 03, 2015	1086.5	1094.86	1098.15	1085.17	-0.84%
Jul 31, 2015	1095.65	1088.41	1103.38	1079.5	0.61%
Jul 30, 2015	1088.99	1096.26	1099.82	1081.85	-0.70%
Jul 29, 2015	1096.69	1095.1	1101.85	1089.83	0.12%
Jul 28, 2015	1095.35	1093.91	1099	1091	0.08%
Jul 27, 2015	1094.42	1099.15	1105.3	1088.79	-0.43%
Jul 24, 2015	1099.1	1090.1	1102.35	1077	0.76%
Jul 23, 2015	1090.8	1094.1	1106	1086.61	-0.24%
Jul 22, 2015	1093.45	1100.56	1103.56	1086.89	-0.72%
Jul 21, 2015	1101.41	1098.15	1109.87	1096.65	0.41%
Jul 20, 2015	1096.95	1132.95	1133.35	1088.05	-3.28%
Jul 17, 2015	1134.1	1145.11	1146.1	1130.7	-0.96%
Jul 16, 2015	1145.15	1148.36	1149.9	1142.1	-0.39%
Jul 15, 2015	1149.65	1155.5	1156.96	1143.43	-0.51%
Jul 14, 2015	1155.53	1157.56	1159.96	1152.54	-0.21%
Jul 13, 2015	1158	1162.9	1164.6	1150.78	-0.51%
Jul 10, 2015	1163.96	1159.35	1165.5	1157.5	0.37%
Jul 09, 2015	1159.65	1158.12	1167.46	1155.7	0.12%
Jul 08, 2015	1158.28	1154.75	1165.03	1146.75	0.24%
Jul 07, 2015	1155.55	1170.1	1170.65	1148.05	-1.25%
Jul 06, 2015	1170.15	1172.8	1175.2	1162.8	0.19%
Jul 03, 2015	1167.94	1165.79	1170.5	1164.46	0.15%
Jul 02, 2015	1166.15	1168.4	1169.11	1156.85	-0.23%
Jul 01, 2015	1168.8	1172.4	1175.3	1167.13	-0.32%
Jun 30, 2015	1172.6	1179.66	1180.8	1166.35	-0.66%
Jun 29, 2015	1180.36	1184.56	1187.32	1173.59	0.45%
Jun 26, 2015	1175.07	1172.86	1179.09	1168.25	0.15%
Jun 25, 2015	1173.33	1174.79	1178.7	1171.02	-0.16%
Jun 24, 2015	1175.2	1177.85	1180.3	1171.03	-0.27%
Jun 23, 2015	1178.44	1185.36	1188.7	1175.82	-0.59%
Jun 22, 2015	1185.45	1199.86	1201.5	1181.9	-1.25%
Jun 19, 2015	1200.51	1201.61	1204.75	1197.95	-0.08%
Jun 18, 2015	1201.42	1184.76	1206	1183.31	1.35%
Jun 17, 2015	1185.45	1181.5	1189.4	1174.08	0.30%
Jun 16, 2015	1181.86	1185.65	1188.11	1175.73	-0.38%
Jun 15, 2015	1186.4	1181	1190.8	1172.52	0.47%
Jun 12, 2015	1180.8	1181.51	1184.7	1176.43	-0.13%
